Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"year, tmID, name, franchID, GF",1.0000,1.0000,0.0040
"year, tmID, name, franchID, rank",1.0000,1.0000,0.0050
"year, tmID, name, playoff, confID",1.0000,0.3766,0.0030
"year, tmID, name, playoff, divID",1.0000,0.4885,0.0030
"year, tmID, name, playoff, GF",1.0000,0.6162,0.0040
"year, tmID, name, playoff, rank",1.0000,0.6162,0.0030
"year, tmID, name, confID, divID",1.0000,0.5938,0.0030
"year, tmID, name, confID, GF",1.0000,0.5938,0.0040
"year, tmID, name, confID, rank",1.0000,0.5938,0.0040
"year, tmID, name, divID, GF",1.0000,0.7709,0.0040
"year, tmID, name, divID, rank",1.0000,0.7709,0.0050
"year, tmID, name, GF, rank",1.0000,1.0000,0.0040
"year, tmID, lgID, franchID, playoff",1.0000,0.6162,0.0030
"year, tmID, lgID, franchID, confID",1.0000,0.5938,0.0030
"year, tmID, lgID, franchID, divID",1.0000,0.7709,0.0040
"year, tmID, lgID, franchID, GF",1.0000,1.0000,0.0040
"year, tmID, lgID, franchID, rank",1.0000,1.0000,0.0050
"year, tmID, lgID, playoff, confID",1.0000,0.3766,0.0030
"year, tmID, lgID, playoff, divID",1.0000,0.4885,0.0030
"year, tmID, lgID, playoff, GF",1.0000,0.6162,0.0040
"year, tmID, lgID, playoff, rank",1.0000,0.6162,0.0040
"year, tmID, lgID, confID, divID",1.0000,0.5938,0.0030
"year, tmID, lgID, confID, GF",1.0000,0.5938,0.0030
"year, tmID, lgID, confID, rank",1.0000,0.5938,0.0030
"year, tmID, lgID, divID, GF",1.0000,0.7709,0.0030
"year, tmID, lgID, divID, rank",1.0000,0.7709,0.0040
"year, tmID, lgID, GF, rank",1.0000,1.0000,0.0040
"year, tmID, franchID, playoff, confID",1.0000,0.3766,0.0030
"year, tmID, franchID, playoff, divID",1.0000,0.4885,0.0030
"year, tmID, franchID, playoff, GF",1.0000,0.6162,0.0030
"year, tmID, franchID, playoff, rank",1.0000,0.6162,0.0040
"year, tmID, franchID, confID, divID",1.0000,0.5938,0.0040
"year, tmID, franchID, confID, GF",1.0000,0.5938,0.0030
"year, tmID, franchID, confID, rank",1.0000,0.5938,0.0030
"year, tmID, franchID, divID, GF",1.0000,0.7709,0.0040
"year, tmID, franchID, divID, rank",1.0000,0.7709,0.0040
"year, tmID, franchID, GF, rank",1.0000,1.0000,0.0040
"year, tmID, playoff, confID, divID",1.0000,0.3766,0.0030
