Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"tmIDWinner, round, series, GoalsLoser",0.8882,0.8882,0.0030
"tmIDWinner, round, series, note",0.9808,0.0349,0.0020
"tmIDWinner, round, lgIDWinner, lgIDLoser",0.1178,1.0000,0.0030
"tmIDWinner, round, lgIDWinner, GoalsWinner",0.7416,1.0000,0.0030
"tmIDWinner, round, lgIDWinner, GoalsLoser",0.7560,1.0000,0.0030
"tmIDWinner, round, lgIDWinner, note",0.9555,0.0709,0.0020
"tmIDWinner, round, lgIDLoser, GoalsWinner",0.7440,1.0000,0.0030
"tmIDWinner, round, lgIDLoser, GoalsLoser",0.7584,1.0000,0.0020
"tmIDWinner, round, lgIDLoser, note",0.9555,0.0709,0.0020
"tmIDWinner, round, GoalsWinner, GoalsLoser",0.9639,1.0000,0.0030
"tmIDWinner, round, GoalsWinner, note",0.9868,0.0709,0.0020
"tmIDWinner, round, GoalsLoser, note",0.9820,0.0709,0.0020
"tmIDWinner, series, lgIDWinner, lgIDLoser",0.2284,0.8882,0.0030
"tmIDWinner, series, lgIDWinner, GoalsWinner",0.8077,0.8882,0.0030
"tmIDWinner, series, lgIDWinner, GoalsLoser",0.8317,0.8882,0.0020
"tmIDWinner, series, lgIDWinner, note",0.9796,0.0349,0.0010
"tmIDWinner, series, lgIDLoser, GoalsWinner",0.8077,0.8882,0.0030
"tmIDWinner, series, lgIDLoser, GoalsLoser",0.8317,0.8882,0.0030
"tmIDWinner, series, lgIDLoser, note",0.9796,0.0349,0.0020
"tmIDWinner, series, GoalsWinner, GoalsLoser",0.9736,0.8882,0.0030
"tmIDWinner, series, GoalsWinner, note",0.9904,0.0349,0.0020
"tmIDWinner, series, GoalsLoser, note",0.9928,0.0349,0.0020
"tmIDWinner, lgIDWinner, lgIDLoser, GoalsWinner",0.3462,1.0000,0.0030
"tmIDWinner, lgIDWinner, lgIDLoser, GoalsLoser",0.3317,1.0000,0.0020
"tmIDWinner, lgIDWinner, lgIDLoser, note",0.9447,0.0709,0.0020
"tmIDWinner, lgIDWinner, GoalsWinner, GoalsLoser",0.8558,1.0000,0.0030
"tmIDWinner, lgIDWinner, GoalsWinner, note",0.9796,0.0709,0.0020
"tmIDWinner, lgIDWinner, GoalsLoser, note",0.9712,0.0709,0.0020
